n=74, k=25, S=111, p=[2^18 3^3 4 7 8 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 7 9^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 4 8^2 9 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5^3 14 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5^2 6 13 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5^2 7 12 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5^2 8 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5^2 9 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 6^2 12 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 6 7 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 6 8 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 6 9^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 7^2 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 7 8 9 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 5 8^3 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 6^3 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 6^2 7 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 6^2 8 9 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 6 7^2 9 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 6 7 8^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^18 3^3 7^3 8 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 5 6 14 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 5 7 13 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 5 8 12 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 5 9 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 5 10^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 6^2 13 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 6 7 12 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 6 8 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 6 9 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 7^2 11 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 7 8 10 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 7 9^2 ], NoSolutionStrategy3
n=74, k=25, S=111, p=[2^17 3^5 8^2 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 5 6 14 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 5 7 13 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 5 8 12 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 5 9 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 5 10^2 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 6^2 13 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 6 7 12 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 6 8 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 6 9 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 7^2 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 7 8 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 7 9^2 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4^2 8^2 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5^3 14 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5^2 6 13 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5^2 7 12 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5^2 8 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5^2 9 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 6^2 12 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 6 7 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 6 8 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 6 9^2 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 7^2 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 7 8 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 5 8^3 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 6^3 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 6^2 7 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 6^2 8 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 6 7^2 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 6 7 8^2 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 4 7^3 8 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^4 13 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^3 6 12 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^3 7 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^3 8 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^3 9^2 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^2 6^2 11 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^2 6 7 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^2 6 8 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^2 7^2 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5^2 7 8^2 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5 6^3 10 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5 6^2 7 9 ], NoSolutionStrategy3
n=75, k=25, S=114, p=[2^18 3^2 5 6^2 8^2 ], NoSolutionStrategy3
