n=158, k=53, S=237, p=[2^35 3^11], Criterion 1
n=158, k=53, S=237, p=[2^34 3^13], Criterion 1
n=158, k=53, S=237, p=[2^33 3^15], Criterion 1
n=158, k=53, S=237, p=[2^32 3^17], Criterion 1
n=159, k=53, S=240, p=[2^39 3^2], Criterion 1
n=159, k=53, S=240, p=[2^38 3^4], Criterion 1
n=159, k=53, S=240, p=[2^37 3^6], Criterion 1
n=159, k=53, S=240, p=[2^36 3^8], Criterion 1
n=159, k=53, S=240, p=[2^35 3^10], Criterion 1
n=159, k=53, S=240, p=[2^34 3^12], Criterion 1
n=159, k=53, S=240, p=[2^33 3^14], Criterion 1
n=159, k=53, S=240, p=[2^32 3^16], Criterion 1
n=159, k=53, S=240, p=[2^31 3^18], Criterion 1
n=159, k=60, S=212, p=[2^53 4^2], Criterion 1
n=159, k=60, S=212, p=[2^52 3^2 4], Criterion 2
n=159, k=60, S=212, p=[2^52 3 4^3], Criterion 12
n=159, k=60, S=212, p=[2^52 4^4], Criterion 1
n=159, k=60, S=212, p=[2^51 3^2], Criterion 2
n=159, k=60, S=212, p=[2^51 3 4^5], Criterion 12
n=159, k=60, S=212, p=[2^51 4^6], Criterion 1
n=159, k=60, S=212, p=[2^50 3^5 4], Criterion 2
n=159, k=60, S=212, p=[2^50 3^4 4^3], Criterion 2
n=159, k=60, S=212, p=[2^50 3 4^7], Criterion 12
n=159, k=60, S=212, p=[2^50 4^8], Criterion 1
n=159, k=60, S=212, p=[2^49 3^2], Criterion 2
n=159, k=60, S=212, p=[2^48 3^8 4], Criterion 2
n=159, k=60, S=212, p=[2^47 3^2], Criterion 2
n=160, k=56, S=230, p=[2^44 3^4], Criterion 1
n=160, k=56, S=230, p=[2^43 3^6], Criterion 1
n=160, k=56, S=230, p=[2^42 3^8], Criterion 1
n=161, k=63, S=207, p=[2^57 4 5^3], Criterion 1
n=161, k=63, S=207, p=[2^57 5^4], Criterion 1
n=161, k=63, S=207, p=[2^56 5^6], Criterion 1
n=164, k=55, S=246, p=[2^41 3^2], Criterion 1
n=164, k=55, S=246, p=[2^40 3^4], Criterion 1
n=164, k=55, S=246, p=[2^39 3^6], Criterion 1
n=164, k=55, S=246, p=[2^38 3^8], Criterion 1
n=164, k=55, S=246, p=[2^37 3^10], Criterion 1
n=164, k=55, S=246, p=[2^36 3^12], Criterion 1
n=164, k=55, S=246, p=[2^35 3^14], Criterion 1
n=164, k=55, S=246, p=[2^34 3^16], Criterion 1
n=164, k=66, S=205, p=[2^61 4 5^2], Criterion 1
n=164, k=66, S=205, p=[2^61 5^3], Criterion 1
n=164, k=66, S=205, p=[2^60 5^5], Criterion 1
n=165, k=55, S=249, p=[2^40 3^3], Criterion 1
n=165, k=55, S=249, p=[2^39 3^5], Criterion 1
n=165, k=55, S=249, p=[2^38 3^7], Criterion 1
